User ID,Gender,Age,EstimatedSalary,Purchased
15753874,Female,37,80000,1
15617877,Female,46,82000,1
15772073,Female,53,143000,1
15701537,Male,42,149000,3
15736228,Male,38,59000,1
15780572,Female,50,88000,3
15769596,Female,56,104000,2
15586996,Female,41,72000,3
15722061,Female,51,146000,2
15638003,Female,35,50000,3
15775590,Female,57,122000,3
15730688,Male,41,52000,1
15753102,Female,35,97000,1
15810075,Female,44,39000,3
15723373,Male,37,52000,2
15795298,Female,48,134000,3
15584320,Female,37,146000,3
15724161,Female,50,44000,3
15750056,Female,52,90000,3
15609637,Female,41,72000,3
15794493,Male,40,57000,1
15569641,Female,58,95000,3
15815236,Female,45,131000,1
15811177,Female,35,77000,1
15680587,Male,36,144000,1
15672821,Female,55,125000,1
15767681,Female,35,72000,2
15600379,Male,48,90000,1
15801336,Female,42,108000,2
15721592,Male,40,75000,2
15581282,Male,37,74000,1
15746203,Female,47,144000,3
15583137,Male,40,61000,3
15680752,Female,43,133000,1
15688172,Female,59,76000,3
15791373,Male,60,42000,3
15589449,Male,39,106000,1
15692819,Female,57,26000,2
15727467,Male,57,74000,3
15734312,Male,38,71000,2
15764604,Male,49,88000,3
15613014,Female,52,38000,3
15759684,Female,50,36000,1
15609669,Female,59,88000,1
15685536,Male,35,61000,2
15750447,Male,37,70000,2
15663249,Female,52,21000,3
15638646,Male,48,141000,3
15734161,Female,37,93000,2
15631070,Female,37,62000,3
15761950,Female,48,138000,1
15649668,Male,41,79000,2
15713912,Female,37,78000,1
15586757,Male,39,134000,1
15596522,Male,49,89000,2
15625395,Male,55,39000,3
15760570,Male,37,77000,3
15566689,Female,35,57000,2
15725794,Female,36,63000,3
15673539,Male,42,73000,3
15705298,Female,43,112000,2
15675791,Male,45,79000,1
15747043,Male,46,117000,2
15736397,Female,58,38000,1
15678201,Male,48,74000,1
15720745,Female,37,137000,3
15637593,Male,37,79000,2
15598070,Female,40,60000,3
15787550,Male,42,54000,2
15603942,Female,51,134000,2
15733973,Female,47,113000,1
15596761,Male,36,125000,2
15652400,Female,38,50000,1
15717893,Female,42,70000,3
15622585,Male,39,96000,2
15733964,Female,38,50000,2
15753861,Female,49,141000,2
15747097,Female,39,79000,2
15594762,Female,39,75000,3
15667417,Female,54,104000,1
15684861,Male,35,55000,3
15742204,Male,45,32000,1
15623502,Male,36,60000,3
15774872,Female,52,138000,1
15611191,Female,53,82000,1
15674331,Male,41,52000,3
15619465,Female,48,30000,3
15575247,Female,48,131000,1
15695679,Female,41,60000,1
15713463,Male,41,72000,3
15785170,Female,42,75000,1
15796351,Male,36,118000,1
15639576,Female,47,107000,3
15693264,Male,38,51000,3
15589715,Female,48,119000,3
15769902,Male,42,65000,2
15587177,Male,40,65000,2
15814553,Male,57,60000,1
15601550,Female,36,54000,3
15664907,Male,58,144000,1
15612465,Male,35,79000,1
15810800,Female,38,55000,1
15665760,Male,39,122000,2
15588080,Female,53,104000,1
15776844,Male,35,75000,3
15717560,Female,38,65000,2
15629739,Female,47,51000,2
15729908,Male,47,105000,1
15716781,Female,41,63000,2
15646936,Male,53,72000,3
15768151,Female,54,108000,2
15579212,Male,39,77000,2
15721835,Male,38,61000,1
15800515,Female,38,113000,3
15591279,Male,37,75000,3
15587419,Female,42,90000,1
15750335,Female,37,57000,3
15699619,Male,36,99000,3
15606472,Male,60,34000,2
15778368,Male,54,70000,2
15671387,Female,41,72000,2
15573926,Male,40,71000,3
15709183,Male,42,54000,1
15577514,Male,43,129000,3
15778830,Female,53,34000,3
15768072,Female,47,50000,3
15768293,Female,42,79000,3
15654456,Male,42,104000,1
15807525,Female,59,29000,2
15574372,Female,58,47000,1
15671249,Male,46,88000,2
15779744,Male,38,71000,2
15624755,Female,54,26000,3
15611430,Female,60,46000,1
15774744,Male,60,83000,1
15629885,Female,39,73000,3
15708791,Male,59,130000,2
15793890,Female,37,80000,1
15646091,Female,46,32000,2
15596984,Female,46,74000,2
15800215,Female,42,53000,1
15577806,Male,41,87000,1
15749381,Female,58,23000,3
15683758,Male,42,64000,3
15670615,Male,48,33000,2
15715622,Female,44,139000,2
15707634,Male,49,28000,2
15806901,Female,57,33000,1
15775335,Male,56,60000,1
15724150,Female,49,39000,1
15627220,Male,39,71000,1
15672330,Male,47,34000,2
15668521,Female,48,35000,1
15807837,Male,48,33000,3
15592570,Male,47,23000,2
15748589,Female,45,45000,3
15635893,Male,60,42000,1
15757632,Female,39,59000,3
15691863,Female,46,41000,1
15706071,Male,51,23000,3
15654296,Female,50,20000,3
15755018,Male,36,33000,1
15594041,Female,49,36000,3
